,source_image,target_image,race,gender,golden_label,matching_score
0,Source_Img_0,Target_Img_0,Black,Female,1,1
1,Source_Img_1,Target_Img_1,Black,Female,1,0.9104725
2,Source_Img_2,Target_Img_2,Black,Female,1,0.83712675
3,Source_Img_3,Target_Img_3,Black,Female,0,0.13075208
4,Source_Img_4,Target_Img_4,Black,Female,1,1
5,Source_Img_5,Target_Img_5,Black,Female,1,0.905
6,Source_Img_6,Target_Img_6,Black,Female,1,0.62930356
7,Source_Img_7,Target_Img_7,Black,Female,0,0.04706076
8,Source_Img_8,Target_Img_8,Black,Female,0,0.14606383
9,Source_Img_9,Target_Img_9,Black,Female,0,0.049508985
10,Source_Img_10,Target_Img_10,Black,Female,0,0.03947343
11,Source_Img_11,Target_Img_11,Black,Female,1,1
12,Source_Img_12,Target_Img_12,Black,Female,1,0.7856258
13,Source_Img_13,Target_Img_13,Black,Female,0,0.170909045
14,Source_Img_14,Target_Img_14,Black,Female,0,0.19378233
15,Source_Img_15,Target_Img_15,Black,Female,1,0.75443374
16,Source_Img_16,Target_Img_16,Black,Female,1,1
17,Source_Img_17,Target_Img_17,Black,Female,0,0.17690419
18,Source_Img_18,Target_Img_18,Black,Female,1,0.638933
19,Source_Img_19,Target_Img_19,Black,Female,1,0.7293986
20,Source_Img_20,Target_Img_20,Black,Female,1,0.903
21,Source_Img_21,Target_Img_21,Black,Female,0,0.160410126
22,Source_Img_22,Target_Img_22,Black,Female,0,0
23,Source_Img_23,Target_Img_23,Black,Female,1,0.6750643
24,Source_Img_24,Target_Img_24,Black,Female,0,0.045481694
25,Source_Img_25,Target_Img_25,Black,Female,0,0.09487555
26,Source_Img_26,Target_Img_26,Black,Female,0,0.153942296
27,Source_Img_27,Target_Img_27,Black,Female,0,0.1298799
28,Source_Img_28,Target_Img_28,Black,Female,1,0.7476388
29,Source_Img_29,Target_Img_29,Black,Female,1,0.73316335
30,Source_Img_30,Target_Img_30,Black,Female,1,0.7408154
31,Source_Img_31,Target_Img_31,Black,Female,1,0.79269095
32,Source_Img_32,Target_Img_32,Black,Female,0,0.15963756
33,Source_Img_33,Target_Img_33,Black,Female,1,0.965
34,Source_Img_34,Target_Img_34,Black,Female,1,0.7711117
